name,value,unit,n,note
response_ms_tool_median,8655.4,ms,12,"user finished to first sample heard, turns that called a tool"
response_ms_tool_p90,15320.3,ms,12,""
response_ms_no_tool_median,,ms,0,"same, turns answered from the standing context alone"
response_ms_no_tool_p90,,ms,0,""
advance_ms_median,2894.6,ms,2,"spoken advance to the next step beginning"
tool_silence_ms_max,16823.05200000001,ms,12,"longest gap before anything was heard on a tool turn"
status_dropped_pct,100.0,%,13,"statuses dropped because the answer was ready first"
interrupt_stop_ms_median,,ms,0,"user speech onset to audio stopping, measured at the listener"
steps_presented,6,count,6,"steps handed to the model to say"
replies_heard_pct,100.0,%,14,"model replies that finished without being cut"
provider_failures,0,count,0,"with no pedal there is no fallback path, so this is reported"
