context_id,step_id,agent_s,listener_s,delta_s,report_age_ms,stale_dropped,after_cut
u1,s1,0.029588193002709887,0.0,0.029588193002709887,4.437917999923229,0,False
u2,s1,0.029588193002709887,0.22,-0.1904118069972901,38.63635700196028,0,True
u1,s1,0.02,0.08,-0.06,5.17297800257802,0,False
u2,s1,0.02,0.2,-0.18000000000000002,59.333337999880314,0,True
u1,s1,0.0,0.08,-0.08,117.76381100341678,0,False
u2,s1,0.0,,,inf,0,True
u1,s1,1.3744292110016987,1.42,-0.04557078899830125,1.0579360015690327,0,False
u2,s1,0.18960849900046012,0.26,-0.07039150099953989,127.0599970035255,0,True
u1,s1,2.395005725996597,2.4,-0.004994274003403021,1.4102559983730316,0,False
u2,s1,0.10580833599975448,0.06,0.04580833599975448,96.73823399841785,0,True
u1,s1,3.055708335997912,3.14,-0.08429166400208832,0.8729589991271496,0,False
u2,s1,0.11,0.26,-0.15000000000000002,45.022121001034975,0,True
u1,s1,0.0,0.08,-0.08,142.09518500044942,0,False
u2,s1,0.02,0.04,-0.02,91.80635099858046,0,True
u1,s1,3.1294324349977214,3.28,-0.15056756500227841,181.5716310031712,0,False
u2,s1,0.02,0.04,-0.02,193.38771600276232,0,True
u1,s1,2.148750424999307,2.26,-0.11124957500069277,74.44864600151777,0,False
u2,s1,0.02,,,inf,0,True
u1,s1,5.792176925000373,6.0,-0.20782307499962727,5.807729002088308,0,False
u2,s1,0.02,0.02,0.0,94.84899199754,0,True
